,string, length,Score,Unit,Batch
86,ECDZzgMx8Quqw6F3EoVKtO3i2gv7faZA1f9I2N5xv1v,43,4360.224,ns/op,10
87,NzzvK8qPoiHgWCtYvhfDPeMHmkYcZE2y9lcM5YHDqMg,43,4454.961,ns/op,10
88,KPVNsEwSYbxbNyFvRyWgNEys8LbsB0AmUuSNOVfrEiWO,44,4450.720,ns/op,10
89,ZvkA5GWuurkkwvX3QmoAAOpnaKr7lVUce3q6LdXCVXPR,44,4521.587,ns/op,10
90,IFiOZQpWp46bFuqCNwLaQNNUn8TrKoyBxaQ3mgGpHCEK7,45,4868.258,ns/op,10
91,Yoh1Mv5vqNiJXFADHeno3RIlHBIfp1A2lM48wGSDpXoxj,45,4630.819,ns/op,10
92,bVINhOTYne3nlVdZTVcnvybm2l3ijgXw5td2I2zSsLMeis,46,5477.818,ns/op,10
93,RrRVukeCS6lX86oIiJ80LSqfPSpXFCYzC86cXv3mUjFXJn,46,4726.870,ns/op,10
94,gNmgJSvvTkpuNMM7yiH73CxUQ4wAbzOMR5BKvHi00F4CN24,47,4632.257,ns/op,10
95,DJemSI50IPLmkOwvp5QONVmJXprz6ZzoeJyPjEuFwCmV83j,47,5224.086,ns/op,10
96,SOvZLDM1YMNuuNq8fT31881ObptVFjVvzhpRyA7ATwTL0OWV,48,4885.361,ns/op,10
97,JwEaAOIw3gmVpkarnEDHBnf4OUFPnTcVfNmrwFF9LKlDjxFZ,48,4815.862,ns/op,10
98,UqMBtp8P9V6yQ8D8lfwp1xpHDD9hKnx2rTLCigsAJXEj0dWu9,49,4776.679,ns/op,10
99,mxbK0bfdMj9DRvHbijekrNm8BmGWFlzZtRjAzljrjFGg60NHr,49,4899.532,ns/op,10
